ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
152,34,20234.85224354847,0.16234568061653226,1,90,5280,1716,6906
153,67,22739.624268980133,0.32216512507647677,0,15,0,0,-15
154,61,21422.44592219294,0.06545919841537813,0,38,0,0,-38
155,30,50607.31275821591,0.1847949811208105,0,37,0,0,-37
156,38,21393.408646694115,0.07255257698442595,0,2,0,0,-2
157,24,25514.25046664639,0.35787829268511806,0,76,0,0,-76
158,60,21023.892134582115,0.06293396038083904,1,176,11903,1959,13686
159,41,31262.89664215454,0.23247486731518624,0,29,0,0,-29
160,70,28340.282426087375,0.022986665096209728,1,1592,28534,3340,30282
161,25,25692.897199327297,0.4949499015542935,0,26,0,0,-26
162,25,29581.25645852159,0.06665523249784196,1,631,9181,2177,10727
163,59,25908.18483038038,0.004384068207875527,1,605,7788,11259,18442
164,28,24389.437182253223,0.044209496502038766,0,5,0,0,-5
165,50,20380.975324910436,0.25062451214484033,0,5,0,0,-5
166,25,20710.94124897091,0.0709613267990295,1,229,19929,1528,21228
167,63,41353.943218422,0.26871043779779497,1,87,5547,1334,6794
168,36,23856.734157167706,0.018171073697803877,1,1425,9484,1825,9884
169,47,39807.172544446774,0.11595603489584394,1,1019,6588,2403,7972
170,73,20236.780549462987,0.10534067512455923,1,406,6803,1526,7923
171,55,27548.114636778435,0.0027731459097692502,1,1150,6901,1641,7392
172,24,26383.04953858495,0.09977752476722151,1,33,6519,2267,8753
173,18,22146.607026132988,0.04959846960917568,1,319,7059,1721,8461
174,22,20986.49318293181,0.22137041365305957,1,47,20453,1466,21872
175,57,26218.725923673963,0.019680625183461226,1,673,11764,1388,12479
176,20,21176.731481440565,0.2229057547491767,1,254,7183,1964,8893
177,20,22531.022868434648,0.16648666760495895,1,1430,6888,2011,7469
178,34,51071.75659133102,0.00799970076655639,0,48,0,0,-48
179,49,31514.528215204282,0.006944861736729823,1,1065,35419,2929,37283
180,55,20970.79342945278,0.2917025753398831,0,121,0,0,-121
181,45,28702.746412794102,0.11281680880316299,0,40,0,0,-40
182,44,39875.49908507516,0.0948123264654439,0,48,0,0,-48
183,29,21313.941500691446,0.02040715737914465,0,2,0,0,-2
184,25,26219.196588267758,0.014253529369376848,1,322,6347,2666,8691
185,21,22305.05716787877,0.27168768500862633,0,112,0,0,-112
186,35,20713.469976857123,0.15816025171667286,1,1495,5403,1597,5505
187,19,21265.24709852698,0.0589627936088805,1,117,11704,1842,13429
188,42,23217.224165247047,0.15097113484035568,0,46,0,0,-46
189,26,37591.37654898582,0.10304562269796039,1,342,5831,3948,9437
190,47,68988.5061020796,0.1257266142209754,1,196,12888,2178,14870
191,28,22281.99545439904,0.2951278158167643,1,206,8436,1688,9918
192,46,26280.448480137027,0.10586915273578697,1,1070,5408,1334,5672
193,40,40584.601103307024,0.18344083911255285,0,82,0,0,-82
194,68,20061.02337715121,0.10396559675802498,1,970,25741,1359,26130
195,22,25359.9217577448,0.12884102703893968,1,547,20689,2244,22386
196,28,22551.40294392125,0.01853529668634452,1,595,5688,1494,6587
197,26,21203.770553198257,0.05520091232926322,1,873,5975,1993,7095
198,48,27787.868616925738,0.004217467778895318,1,316,11889,1837,13410
199,27,29698.14312475577,0.06251399892387775,0,46,0,0,-46
200,63,22080.70697394864,0.37611723868964714,1,621,5321,2007,6707
201,47,67973.58486798772,0.03966771200301005,1,389,6066,2323,8000
202,30,24139.954684777356,0.24938266713262236,1,356,6372,2947,8963
203,28,21357.06001169652,0.04414984895701371,1,249,5311,1439,6501
204,24,27852.547306755503,0.27074574616704894,1,760,7818,1508,8566
205,31,25853.899281663595,0.12208647058896654,0,43,0,0,-43
206,72,21277.974634843773,0.068782986741352,0,129,0,0,-129
207,65,26520.224895403586,0.07851621219983308,1,54,5759,1880,7585
208,53,20166.31541659119,0.05239015578399934,1,479,29087,1471,30079
209,40,21904.834551154916,0.014780175211992489,1,726,6412,1500,7186
210,20,38649.59723369314,0.04774591403523517,0,25,0,0,-25
211,19,22455.42995623686,0.2098763510444584,0,44,0,0,-44
212,39,48696.80709007466,0.046330288033086094,1,497,8898,1520,9921
213,37,21829.253261496247,0.13212948340061403,1,604,13797,2100,15293
214,50,21669.451314887832,0.15594241668630646,1,194,5436,2684,7926
215,45,23259.59351984894,0.060477702094217954,1,349,5319,1628,6598
216,51,26989.53418668632,0.18929037274035887,0,23,0,0,-23
217,53,23522.5260719302,0.3717997347662512,1,285,5720,4307,9742
218,61,21508.010696602803,0.03982229179096531,0,21,0,0,-21
219,48,38619.65827258233,0.24652902684781314,0,16,0,0,-16
220,25,21244.507060810123,0.12514248517181153,1,87,6365,1473,7751
221,43,29992.51352997584,0.061116041247103015,0,40,0,0,-40
222,44,21602.528541903925,0.23762578444383273,1,1114,5515,1781,6182
223,29,24103.229222332495,0.012291148910854827,1,484,8216,1913,9645
224,54,20206.857888365405,0.08311341755826177,1,285,5344,1438,6497
225,42,27923.01693747176,0.06930644272355575,1,295,5435,1720,6860
226,20,121367.10172216501,0.10798741200495786,1,875,5513,1747,6385
227,34,20441.418504480727,0.20084074847413513,0,130,0,0,-130
228,41,25339.02583193652,0.614304634094858,0,124,0,0,-124
229,29,38784.10748630521,0.6093638539169765,0,40,0,0,-40
230,59,24319.18531972259,0.1262513679749019,1,1182,10022,1568,10408
231,44,20203.255277461438,0.46544639426169526,1,914,5721,1496,6303
232,18,34188.7192440624,0.02378738600696551,1,123,5749,1823,7449
233,26,31046.895933715296,0.031995554332804314,1,529,9003,1477,9951
234,19,57998.88315253938,0.024379360819311493,1,449,6494,1523,7568
235,25,20146.501022976812,0.0350715680611019,1,173,7378,1375,8580
236,28,49349.91295938998,0.0012676315922079738,1,1311,6282,1530,6501
237,25,97615.26233895765,0.18982885938571448,0,64,0,0,-64
238,28,28614.363907306677,0.010340200848867526,1,109,6690,1659,8240
239,46,22820.599728969442,0.2042939218581277,1,680,6338,2618,8276
240,36,22303.24233264835,0.019561402631480342,1,25,7417,1851,9243
241,28,22142.727994037676,0.055983738719049936,1,181,7884,1963,9666
242,38,40123.38449564945,0.07244852800053198,1,301,5402,1662,6763
243,71,20362.643311190124,0.01624170427456013,1,138,25451,2124,27437
244,30,58497.93376556276,0.22940802088883644,1,2303,5396,1742,4835
245,42,31169.498526144198,0.0016315523306337503,1,392,27723,1442,28773
246,27,36435.97862572078,0.08266173158034729,1,156,9243,1386,10473
247,22,20825.456842289997,0.029381430408195474,1,762,8069,3827,11134
248,32,37232.70629653794,0.0626137001436862,1,598,5653,1473,6528
249,26,50850.76351612622,0.2648622598197447,1,74,9587,2054,11567
250,41,37695.24087937492,0.11447002171454099,1,490,8546,1755,9811
251,26,21313.01755405154,0.031067919531160792,1,1105,6795,1855,7545
252,49,104070.75331374671,0.0012588726488688673,1,501,10734,2328,12561
253,25,29063.429618361493,0.3963454382742561,1,395,5446,1442,6493
254,71,22522.43686328876,0.01583206034294123,1,205,8127,1477,9399
255,56,26215.79446040358,0.22963201279769124,1,1838,6258,1402,5822
256,71,22624.267296356902,0.312844963872545,1,21,7221,1379,8579
257,37,20024.20242245372,0.08741262163800362,0,39,0,0,-39
258,61,21025.62854641915,0.012768687628701904,1,58,58857,1555,60354
259,19,37846.771423896476,0.24307279540932755,0,87,0,0,-87
260,50,33211.761059169454,0.15792882581157583,1,2246,6229,2110,6093
261,28,84763.38338114042,0.03162021711489098,1,483,7704,2310,9531
262,22,20553.134288174842,0.11734010594236478,1,293,33944,2787,36438
263,20,21391.374363797375,0.055108476729499714,1,290,7629,1415,8754
264,26,59070.86209223118,0.4809708953223016,0,127,0,0,-127
265,36,29338.29506514741,0.07917620081964281,1,520,9313,1430,10223
266,22,45666.37224845302,0.0595645274045865,1,647,9918,1582,10853
267,33,25013.19897545674,0.1540691554809992,1,1910,7781,1667,7538
268,38,30558.87392244064,0.002309331754880314,1,178,6064,2099,7985
269,30,21217.685974586628,0.42155388278922756,1,1999,6438,1851,6290
270,54,23021.2405420851,0.07729215648771265,1,864,5454,1589,6179
271,27,33443.34055576229,0.22903822428610268,1,1709,7824,2631,8746
272,45,30479.642636460903,0.009565285126723241,1,185,6620,1413,7848
273,66,22297.25640331187,0.1349519603528473,0,25,0,0,-25
274,27,20535.953701783954,0.08651349636325904,1,431,13444,3222,16235
275,30,36215.48477197843,0.09868038128179997,1,1219,7996,2423,9200
276,22,21832.313753022485,0.2317068405437284,1,589,7538,1778,8727
277,63,28846.650829463822,0.003989809570933037,1,140,5905,1739,7504
278,73,91674.90389952087,0.22841104717169378,0,59,0,0,-59
279,31,25581.283087077725,0.08758072705731092,1,391,10818,1694,12121
280,25,31419.08256552681,0.16057994037181034,0,109,0,0,-109
281,26,24386.409270576944,0.12363958179244962,1,941,15742,1452,16253
282,19,26660.513188546112,0.1392552051793981,1,1563,6274,3950,8661
283,51,32426.81297827689,0.2703028635863729,0,27,0,0,-27
284,55,33753.78784359746,0.13863776446950982,0,18,0,0,-18
285,30,22792.624726961887,0.29956267966535266,1,552,8234,1686,9368
286,73,20920.471165466082,0.07448992908250848,1,1120,7313,1605,7798
287,19,20173.60015836678,0.1800249634574988,0,15,0,0,-15
288,70,27590.771274672294,0.0537788469772075,1,169,6900,6437,13168
289,29,28176.921259209423,0.21669914331125706,1,652,7061,1343,7752
290,45,46748.3418437513,0.09848654772261119,1,2599,7605,1779,6785
291,19,20693.591481789015,0.2017020899889242,1,212,20915,1835,22538
292,26,44889.18500083462,0.24491364162936122,0,39,0,0,-39
293,55,39531.0020508102,0.27625828423213633,0,54,0,0,-54
294,27,27576.681612282002,0.28555157380519613,1,218,6939,1597,8318
295,24,30549.141664489598,0.06644487730781078,1,68,5463,2600,7995
296,18,25781.595428115794,0.07955543497254036,0,16,0,0,-16
297,33,27305.118204158854,0.12500932940218495,0,21,0,0,-21
298,20,26339.40169112516,0.06347994826674433,1,535,5631,4944,10040
299,40,50580.98575027061,0.18809051759399426,0,8,0,0,-8
300,56,33731.99730964231,0.044286355566346074,1,241,5770,4364,9893
301,30,25141.498335510914,0.023373870146888145,1,1848,11215,1501,10868
302,18,20192.93096027358,0.14099990747191216,1,1014,5272,1582,5840
303,40,20562.10625897717,0.1264088449256964,1,87,6640,2921,9474
304,23,29955.68064986524,0.021238303024427817,1,41,7550,1455,8964
305,54,27305.03029328999,0.006999414064985807,1,681,8225,1642,9186
306,23,25225.816949040825,0.13724665398772715,1,26,26059,1916,27949
307,70,98068.10068200609,0.1674998455384017,0,15,0,0,-15
308,62,41514.564270838855,0.2160232570768736,1,130,8362,2025,10257
309,19,31397.18499131303,0.12414179575027236,1,496,25136,1775,26415
310,29,24612.684186782204,0.2317215780161115,1,514,10082,2118,11686
311,26,21646.724686701124,0.0217389475631303,1,159,8480,4881,13202
312,41,31161.527807323182,0.07395827287508039,0,41,0,0,-41
313,23,22003.17831647337,0.13928056825528856,1,306,9135,1569,10398
314,46,26509.42609549977,0.07008942499588258,1,453,8127,1473,9147
315,55,48688.432946592366,0.13931535862472452,1,86,5316,1546,6776
316,33,21364.78580102705,0.24400594455447303,0,24,0,0,-24
317,30,20003.00303128469,0.040633552267356425,1,82,11633,4053,15604
318,45,31868.661923083077,0.18991204851120005,1,2799,15606,1476,14283
319,35,33676.60759028104,0.05727890107387528,1,348,6306,1486,7444
320,41,32529.163162096873,0.09850223494872534,1,109,12406,1812,14109
321,34,64645.82151571911,0.0166261780907859,1,153,6141,1957,7945
322,56,21861.16041160889,0.022748974299595808,1,353,5410,1950,7007
323,60,21931.59354105739,0.04532402082808117,1,258,12308,1430,13480
324,48,20672.424477830366,0.014830167204172061,0,32,0,0,-32
325,31,27673.788850413617,0.0827361089555426,0,6,0,0,-6
326,59,28609.742769358614,0.05934272516542381,1,367,80921,1419,81973
327,64,25216.214244632047,0.036946861951495914,1,238,7265,2344,9371
328,27,20862.39354710278,0.25523736360874943,1,359,9570,1688,10899
329,37,27859.473002419403,0.0706818667126603,0,37,0,0,-37
330,33,20182.46571875786,0.05281528491487197,1,838,6697,1349,7208
331,36,29960.730608463306,0.030453466503784554,1,118,5335,1346,6563
332,26,20577.924061368092,0.025002210946757007,1,145,7033,1868,8756
333,22,60363.16789525038,0.001257729363653312,1,1306,10016,2175,10885
334,38,22867.876102677466,0.4517468008847922,1,758,5744,2867,7853
335,58,32863.39240949883,0.13801668556830787,1,86,6792,1825,8531
336,54,57356.12015253035,0.0156560319725035,0,65,0,0,-65
337,31,23854.780415890993,0.3092868477729808,0,23,0,0,-23
338,46,31687.441787777454,0.006322557401390235,1,895,5239,1501,5845
339,35,26839.162392005106,0.5131092767339663,0,0,0,0,0
340,21,24886.767819146553,0.2533305772055166,1,1040,8955,1548,9463
341,23,43397.061500951866,0.07297420876897867,1,1868,7386,2886,8404
342,29,23814.35987393227,0.6462888646692669,0,28,0,0,-28
343,29,31793.36297082594,0.21715565270018705,1,1244,7438,1856,8050
344,24,24684.352078183056,0.06107668283872353,1,1572,8931,2469,9828
345,41,37132.78384070422,0.03266120375968545,1,301,6985,1548,8232
346,26,26108.75397522027,0.20232245661725706,1,88,6211,1755,7878
347,65,23126.91312675058,0.296631326304826,0,50,0,0,-50
348,19,20359.771613431272,0.03882239134093363,1,385,5970,1647,7232
349,73,34838.1151461305,0.022254413495042664,1,132,5833,2370,8071
350,28,21170.100210785728,0.09048711300785331,1,242,6399,1601,7758
351,30,20924.89560316612,0.14083853011557107,1,540,11649,3673,14782
352,27,25606.035323439915,0.016326049567666544,0,29,0,0,-29
353,29,28369.52437352013,0.07858114075879068,1,125,7367,1500,8742
354,35,26355.142117284544,0.19191656003680316,1,866,6719,1369,7222
355,48,24360.309743278267,0.1456812605507444,1,383,10196,3293,13106
356,49,22927.075385884033,0.14243297437883434,1,756,16247,1839,17330
357,44,26259.462285142617,0.145259116315067,1,370,29799,1598,31027
358,28,26295.18488278982,0.2839249532270684,1,338,6835,1613,8110
359,74,27229.741522713557,0.010131831405116835,1,276,12549,1634,13907
360,32,20596.003503084605,0.04411708633797562,1,322,5375,8441,13494
361,30,20463.560396064793,0.07275503083886468,1,200,8691,1605,10096
362,22,23102.16645669543,0.05463828237970293,1,145,14673,1779,16307
363,68,20139.49400996155,0.08451598469806276,0,27,0,0,-27
364,25,20196.818182700525,0.005447024247634235,0,55,0,0,-55
365,32,24137.40518275968,0.0985002335995941,1,856,18418,1390,18952
366,59,68427.4114432286,0.14004807912446132,1,1237,9695,1862,10320
367,58,22089.337214717296,0.030576847418673853,1,133,6570,1718,8155
368,33,31198.59412040189,0.04488261438903949,1,96,6022,1421,7347
369,39,22966.892559270345,0.10430875273046514,1,115,5817,1455,7157
370,21,20005.57165690672,0.023274871767845727,1,447,10099,1563,11215
371,70,36515.95070822617,0.28669938833484093,0,6,0,0,-6
372,60,21196.697578142917,0.30314700976730113,0,87,0,0,-87
373,60,21192.721025110397,0.012052278822569765,1,448,12255,1792,13599
374,53,20575.660192860538,0.22084084021563538,1,136,6242,1602,7708
375,34,20355.21303072736,0.028051164844470778,0,64,0,0,-64
376,61,24798.82387979773,0.011034984437176916,1,1236,112626,2310,113700
377,72,26955.856970797235,0.017560851557975894,1,3071,5582,1492,4003
378,33,52881.6947301659,0.026866111735578575,1,276,9786,1390,10900
379,46,22601.714551047306,0.18384656574096203,1,25,8579,1585,10139
380,51,67233.77719465476,0.0051377359866637854,1,439,11524,1344,12429
381,19,21669.70950911644,0.01916155947059334,0,130,0,0,-130
382,45,32394.06955304539,0.0038570887640625093,1,279,13784,2159,15664
383,23,31209.54773461915,0.06019989596252213,1,73,13057,3438,16422
384,33,23703.433877414245,0.022877698971914655,1,84,9493,1695,11104
385,64,30043.761640459183,0.03080070506984938,1,424,25136,1444,26156
386,19,27126.576056505623,0.04095823898966411,1,555,6554,1375,7374
387,19,28813.070723667566,0.23023987692626696,1,625,19398,1612,20385
388,18,26388.993342971855,0.027708962473087025,1,1161,24726,2086,25651
389,55,21099.801557318086,0.07102612575910562,0,46,0,0,-46
390,41,23376.22406357673,0.09464524008067465,1,112,11121,1662,12671
391,46,39149.771285401686,0.00950876073444301,1,414,6810,2122,8518
392,43,21579.992372748093,0.3022753938215004,0,126,0,0,-126
393,56,23782.192165826244,0.20645822751750934,0,9,0,0,-9
394,20,38644.34751446814,0.14438970804622792,1,252,8539,1395,9682
395,19,21991.921647051746,0.3366745822220211,1,265,6132,1426,7293
396,29,25598.371553829926,0.07649472382017476,1,46,11061,1640,12655
397,64,22225.463652282044,0.08608870699783491,1,272,5695,1995,7418
398,46,20098.629861874935,0.029737232237371167,1,362,6992,2291,8921
399,32,29774.703744593313,0.2801355866829446,1,1242,7514,1694,7966
400,42,26180.79615520254,0.10000314003736263,0,4,0,0,-4
401,20,48158.422505493654,0.23261107256529812,1,442,7633,1725,8916
402,36,28443.01743111534,0.36797387183878594,0,11,0,0,-11
403,43,40070.81774374676,0.13130562855160163,1,116,7164,1425,8473
404,27,23447.8680927235,0.05830440037623797,1,257,26396,1375,27514
405,25,60047.874215438096,0.0010384222136400386,0,33,0,0,-33
406,75,26471.30352553639,0.06374128994544005,1,603,7342,1559,8298
407,37,28922.61672690871,0.08082703550486439,1,344,7707,1485,8848
408,24,47845.954501627384,0.05559050610459627,1,124,8138,1459,9473
409,33,30207.315665056092,0.21328872261031548,1,978,8841,1369,9232
410,37,22511.02585788387,0.01384703977028947,1,385,5870,1412,6897
411,32,39093.148966944245,0.25854447089533356,1,89,7753,1566,9230
