ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
121,1,1,76,1941,1865
122,1,0,11,0,-11
123,1,0,28,0,-28
124,1,1,339,1374,1035
125,0,0,2,0,-2
126,1,1,1375,1576,201
127,0,0,109,0,-109
128,0,0,32,0,-32
129,1,1,83,1463,1380
130,1,0,91,0,-91
131,1,1,1300,1664,364
132,0,0,48,0,-48
133,1,1,97,1226,1129
134,1,0,4,0,-4
135,1,1,320,2228,1908
136,0,0,36,0,-36
137,1,0,14,0,-14
138,1,0,34,0,-34
139,1,0,14,0,-14
140,1,1,708,1217,509
141,0,0,4,0,-4
142,1,0,98,0,-98
143,1,0,114,0,-114
144,0,0,128,0,-128
145,1,0,22,0,-22
146,1,1,1458,2426,968
147,0,0,114,0,-114
148,1,0,35,0,-35
149,1,0,92,0,-92
150,0,0,13,0,-13
151,1,0,42,0,-42
152,1,1,149,1363,1214
153,0,0,99,0,-99
154,0,0,15,0,-15
155,1,0,2,0,-2
156,0,0,3,0,-3
157,1,1,565,1244,679
158,1,1,1288,1318,30
159,1,1,662,1513,851
160,0,0,35,0,-35
161,1,0,248,0,-248
162,1,0,20,0,-20
163,0,0,31,0,-31
164,1,0,2,0,-2
165,1,0,44,0,-44
166,1,1,225,1529,1304
167,1,1,1453,1368,-85
168,1,0,23,0,-23
169,1,1,240,1667,1427
170,1,0,192,0,-192
171,0,0,51,0,-51
172,0,0,9,0,-9
173,1,1,236,1262,1026
174,1,1,34,1330,1296
175,1,1,126,1414,1288
176,1,1,522,1375,853
177,0,0,33,0,-33
178,1,1,685,1724,1039
179,0,0,1,0,-1
180,1,0,10,0,-10
181,0,0,0,0,0
182,1,0,31,0,-31
183,1,0,47,0,-47
184,0,0,31,0,-31
185,1,0,106,0,-106
186,1,1,1286,1288,2
187,1,0,56,0,-56
188,0,0,29,0,-29
189,1,0,7,0,-7
190,0,0,36,0,-36
191,0,0,67,0,-67
192,0,0,27,0,-27
193,0,0,63,0,-63
194,1,1,564,1200,636
195,0,0,54,0,-54
196,0,0,26,0,-26
197,1,1,127,1479,1352
198,1,0,134,0,-134
199,1,1,751,1337,586
200,1,0,15,0,-15
201,1,1,349,1856,1507
202,1,1,14,1213,1199
203,0,0,46,0,-46
204,1,0,26,0,-26
205,1,1,497,1816,1319
206,1,0,110,0,-110
207,1,1,468,1989,1521
208,1,0,109,0,-109
209,1,1,585,1210,625
210,1,1,290,2014,1724
211,0,0,98,0,-98
212,0,0,63,0,-63
213,1,0,91,0,-91
214,1,0,20,0,-20
215,1,1,208,1681,1473
216,1,0,121,0,-121
217,0,0,27,0,-27
218,0,0,30,0,-30
219,0,0,35,0,-35
220,0,0,67,0,-67
221,0,0,39,0,-39
222,1,1,91,1229,1138
223,0,0,114,0,-114
224,1,0,63,0,-63
225,1,0,50,0,-50
226,0,0,48,0,-48
227,1,0,70,0,-70
228,1,0,202,0,-202
229,1,0,31,0,-31
230,0,0,79,0,-79
231,0,0,107,0,-107
232,1,0,22,0,-22
233,1,0,6,0,-6
234,1,0,11,0,-11
235,0,0,17,0,-17
236,1,1,1520,1254,-266
237,1,0,21,0,-21
238,0,0,35,0,-35
239,0,0,13,0,-13
240,0,0,9,0,-9
241,0,0,30,0,-30
242,0,0,9,0,-9
243,0,0,1,0,-1
244,1,1,420,1527,1107
245,1,0,114,0,-114
246,1,0,51,0,-51
247,1,0,31,0,-31
248,1,1,881,1502,621
249,0,0,122,0,-122
250,1,0,138,0,-138
251,0,0,39,0,-39
252,1,0,78,0,-78
253,0,0,6,0,-6
254,1,1,936,1218,282
255,1,1,79,1318,1239
256,0,0,65,0,-65
257,0,0,30,0,-30
258,0,0,0,0,0
259,1,1,59,1935,1876
260,0,0,30,0,-30
261,0,0,2,0,-2
262,1,0,74,0,-74
263,0,0,304,0,-304
264,1,1,882,1637,755
265,1,0,65,0,-65
266,0,0,101,0,-101
267,1,0,19,0,-19
268,1,1,309,1588,1279
269,1,1,54,1303,1249
270,0,0,30,0,-30
271,1,0,2,0,-2
272,1,0,46,0,-46
273,1,0,19,0,-19
274,1,1,376,1410,1034
275,1,0,77,0,-77
276,1,1,72,1441,1369
277,0,0,22,0,-22
278,1,0,7,0,-7
279,1,0,22,0,-22
280,1,1,181,1931,1750
281,1,1,787,2745,1958
282,0,0,22,0,-22
283,0,0,35,0,-35
284,1,0,46,0,-46
285,0,0,51,0,-51
286,0,0,6,0,-6
287,1,1,232,2402,2170
288,0,0,117,0,-117
289,1,1,100,2178,2078
290,0,0,178,0,-178
291,1,1,611,1313,702
292,0,0,6,0,-6
293,0,0,100,0,-100
294,0,0,16,0,-16
295,1,0,61,0,-61
296,0,0,46,0,-46
297,1,0,47,0,-47
298,1,0,37,0,-37
299,0,0,30,0,-30
300,1,1,832,1343,511
301,0,0,5,0,-5
302,1,1,965,1547,582
303,1,1,866,1865,999
304,0,0,104,0,-104
305,1,0,13,0,-13
306,1,1,346,1370,1024
307,1,0,23,0,-23
308,1,0,32,0,-32
309,1,0,51,0,-51
310,1,1,949,1468,519
311,1,1,164,1353,1189
312,1,0,3,0,-3
313,1,1,66,1230,1164
314,1,0,90,0,-90
315,0,0,15,0,-15
316,1,1,452,1280,828
317,1,0,1,0,-1
318,0,0,19,0,-19
319,0,0,5,0,-5
320,1,1,98,2668,2570
321,0,0,83,0,-83
322,0,0,3,0,-3
323,0,0,52,0,-52
324,0,0,33,0,-33
325,0,0,12,0,-12
326,0,0,14,0,-14
327,1,1,976,1355,379
328,0,0,55,0,-55
329,0,0,8,0,-8
330,0,0,12,0,-12
331,0,0,61,0,-61
332,1,1,654,1374,720
333,1,0,9,0,-9
334,1,0,25,0,-25
335,1,0,1,0,-1
336,0,0,14,0,-14
337,0,0,145,0,-145
338,0,0,28,0,-28
339,1,0,87,0,-87
340,1,1,660,1305,645
341,1,1,283,1316,1033
342,0,0,9,0,-9
343,1,0,18,0,-18
344,0,0,49,0,-49
345,0,0,40,0,-40
346,0,0,42,0,-42
347,1,1,244,1298,1054
348,0,0,14,0,-14
349,0,0,186,0,-186
350,1,0,16,0,-16
351,1,1,186,1769,1583
352,0,0,54,0,-54
353,1,1,267,1217,950
354,0,0,21,0,-21
355,1,1,335,1809,1474
356,0,0,183,0,-183
357,0,0,16,0,-16
358,1,1,552,2461,1909
359,1,1,895,1568,673
360,1,1,780,1242,462
361,1,0,13,0,-13
362,0,0,82,0,-82
363,0,0,50,0,-50
364,0,0,41,0,-41
365,1,0,148,0,-148
366,0,0,39,0,-39
367,1,0,139,0,-139
368,1,1,529,2185,1656
369,0,0,20,0,-20
370,1,0,10,0,-10
371,1,1,689,1910,1221
372,1,0,42,0,-42
373,0,0,96,0,-96
374,1,1,543,1565,1022
375,1,1,750,1279,529
376,0,0,16,0,-16
377,0,0,82,0,-82
378,1,0,5,0,-5
379,0,0,68,0,-68
380,0,0,7,0,-7
381,1,1,229,1749,1520
382,0,0,53,0,-53
383,1,0,28,0,-28
384,0,0,96,0,-96
385,1,0,13,0,-13
386,1,0,0,0,0
387,1,1,188,1337,1149
388,1,1,145,1385,1240
389,1,1,1062,1285,223
390,1,1,389,1690,1301
391,0,0,67,0,-67
392,0,0,0,0,0
393,0,0,27,0,-27
394,0,0,74,0,-74
395,1,1,219,1238,1019
396,0,0,74,0,-74
397,0,0,14,0,-14
398,1,1,275,1460,1185
399,1,0,158,0,-158
400,0,0,103,0,-103
401,1,0,28,0,-28
402,0,0,10,0,-10
403,0,0,12,0,-12
404,1,1,276,1302,1026
405,0,0,0,0,0
406,0,0,16,0,-16
407,1,0,164,0,-164
408,0,0,44,0,-44
409,0,0,163,0,-163
410,1,1,405,1215,810
411,0,0,6,0,-6
412,0,0,31,0,-31
413,1,1,73,3231,3158
414,1,1,65,1444,1379
415,1,0,25,0,-25
416,0,0,2,0,-2
417,0,0,1,0,-1
418,1,0,81,0,-81
419,1,0,37,0,-37
420,1,0,36,0,-36
421,0,0,77,0,-77
422,1,1,300,1300,1000
423,0,0,53,0,-53
424,0,0,6,0,-6
425,0,0,0,0,0
426,0,0,10,0,-10
427,1,0,71,0,-71
428,0,0,35,0,-35
429,1,1,1993,1232,-761
430,0,0,8,0,-8
431,1,1,80,1331,1251
432,0,0,42,0,-42
433,1,1,275,1264,989
434,1,1,83,1409,1326
435,0,0,61,0,-61
436,0,0,65,0,-65
437,1,0,13,0,-13
438,1,1,157,1300,1143
439,1,0,19,0,-19
440,0,0,9,0,-9
441,1,1,336,1440,1104
442,1,1,368,1222,854
443,1,1,138,1308,1170
444,0,0,33,0,-33
445,1,0,32,0,-32
446,0,0,8,0,-8
447,0,0,20,0,-20
448,1,0,24,0,-24
449,0,0,0,0,0
450,0,0,136,0,-136
451,0,0,14,0,-14
452,1,1,356,1534,1178
453,0,0,43,0,-43
454,0,0,20,0,-20
455,0,0,23,0,-23
456,1,0,202,0,-202
457,0,0,2,0,-2
458,1,1,660,1275,615
459,0,0,18,0,-18
460,1,0,167,0,-167
461,0,0,106,0,-106
462,1,0,132,0,-132
463,0,0,28,0,-28
464,1,1,18,1867,1849
465,1,1,922,2042,1120
466,1,0,11,0,-11
467,0,0,0,0,0
468,1,1,579,1203,624
469,1,0,235,0,-235
470,1,1,593,1422,829
471,1,1,250,4276,4026
472,1,0,29,0,-29
473,1,0,62,0,-62
474,1,0,81,0,-81
475,1,0,45,0,-45
476,0,0,90,0,-90
477,1,0,27,0,-27
478,1,0,40,0,-40
479,0,0,22,0,-22
480,0,0,8,0,-8
481,0,0,57,0,-57
482,1,1,723,1489,766
483,1,1,2120,1206,-914
484,0,0,20,0,-20
485,1,0,44,0,-44
486,1,0,19,0,-19
487,0,0,5,0,-5
488,1,1,285,1544,1259
489,0,0,19,0,-19
490,1,0,9,0,-9
491,1,0,3,0,-3
492,1,0,16,0,-16
493,1,1,1673,1206,-467
494,1,0,37,0,-37
495,1,0,1,0,-1
496,1,0,84,0,-84
497,1,0,35,0,-35
498,1,0,11,0,-11
499,1,1,227,1202,975
500,1,1,937,1323,386
501,0,0,47,0,-47
502,1,0,140,0,-140
503,0,0,21,0,-21
504,0,0,101,0,-101
505,0,0,41,0,-41
506,1,0,11,0,-11
507,0,0,26,0,-26
508,0,0,55,0,-55
509,1,1,114,1218,1104
510,0,0,33,0,-33
511,0,0,31,0,-31
512,1,0,16,0,-16
513,1,1,238,2338,2100
514,0,0,61,0,-61
515,0,0,19,0,-19
516,0,0,42,0,-42
517,0,0,10,0,-10
518,0,0,65,0,-65
519,0,0,46,0,-46
520,0,0,6,0,-6
521,0,0,104,0,-104
522,0,0,7,0,-7
523,1,1,175,1396,1221
524,1,0,55,0,-55
525,0,0,148,0,-148
526,1,1,321,1238,917
527,1,1,377,1843,1466
528,1,0,56,0,-56
529,1,1,34,1471,1437
530,0,0,31,0,-31
531,0,0,7,0,-7
532,0,0,18,0,-18
533,0,0,7,0,-7
534,1,0,84,0,-84
535,1,1,1732,2944,1212
536,0,0,8,0,-8
537,1,1,398,1213,815
538,0,0,134,0,-134
539,1,1,301,1819,1518
540,0,0,62,0,-62
541,0,0,32,0,-32
542,0,0,71,0,-71
543,1,1,388,2278,1890
544,0,0,53,0,-53
545,0,0,38,0,-38
546,0,0,35,0,-35
547,0,0,40,0,-40
548,0,0,18,0,-18
549,1,1,699,1611,912
550,0,0,12,0,-12
551,1,1,674,1490,816
552,1,1,134,3191,3057
553,0,0,17,0,-17
554,1,0,0,0,0
555,1,0,33,0,-33
556,0,0,3,0,-3
557,0,0,18,0,-18
558,1,1,73,1232,1159
559,1,0,2,0,-2
560,1,0,166,0,-166
561,0,0,20,0,-20
562,0,0,38,0,-38
563,0,0,37,0,-37
564,0,0,19,0,-19
565,1,1,148,1438,1290
566,0,0,116,0,-116
567,1,0,6,0,-6
568,1,1,943,1653,710
569,0,0,23,0,-23
570,0,0,127,0,-127
571,0,0,28,0,-28
572,1,1,24,1391,1367
573,1,0,53,0,-53
574,1,0,63,0,-63
575,1,0,47,0,-47
576,1,0,145,0,-145
577,1,1,501,1222,721
578,0,0,107,0,-107
579,0,0,34,0,-34
580,0,0,66,0,-66
581,0,0,16,0,-16
582,1,0,22,0,-22
583,1,0,11,0,-11
584,0,0,26,0,-26
585,1,0,42,0,-42
586,0,0,95,0,-95
587,1,0,34,0,-34
588,0,0,42,0,-42
589,0,0,26,0,-26
590,0,0,5,0,-5
591,1,0,42,0,-42
592,0,0,7,0,-7
593,1,0,30,0,-30
594,1,1,168,2971,2803
595,1,1,146,1317,1171
596,1,1,69,1438,1369
597,1,1,146,1294,1148
598,0,0,1,0,-1
599,1,0,5,0,-5
600,0,0,32,0,-32
601,0,0,16,0,-16
602,0,0,11,0,-11
603,1,0,17,0,-17
604,1,1,1666,1224,-442
605,1,1,1570,3832,2262
606,0,0,17,0,-17
607,0,0,48,0,-48
608,1,0,8,0,-8
609,1,0,13,0,-13
610,0,0,98,0,-98
611,0,0,17,0,-17
612,0,0,15,0,-15
613,0,0,42,0,-42
614,1,0,18,0,-18
615,1,1,150,1211,1061
616,1,1,445,1726,1281
617,1,1,377,2493,2116
618,1,1,308,1455,1147
619,1,1,272,1692,1420
620,1,0,32,0,-32
621,1,0,91,0,-91
622,1,1,533,1320,787
623,1,1,280,1297,1017
624,1,0,26,0,-26
625,0,0,158,0,-158
626,0,0,97,0,-97
627,1,1,684,1715,1031
628,0,0,1,0,-1
629,1,1,50,1235,1185
630,0,0,34,0,-34
631,1,1,419,1916,1497
632,1,0,80,0,-80
633,1,1,171,1231,1060
634,0,0,59,0,-59
635,1,0,3,0,-3
636,0,0,128,0,-128
637,0,0,6,0,-6
638,1,0,28,0,-28
639,0,0,1,0,-1
640,1,1,748,1294,546
641,0,0,84,0,-84
642,1,1,577,2598,2021
643,1,0,0,0,0
644,0,0,17,0,-17
645,1,1,950,1271,321
646,0,0,42,0,-42
647,1,0,34,0,-34
648,0,0,103,0,-103
649,1,0,148,0,-148
650,1,0,21,0,-21
651,1,0,25,0,-25
652,1,0,77,0,-77
653,0,0,4,0,-4
654,1,0,20,0,-20
655,1,0,20,0,-20
656,1,1,332,1374,1042
657,1,0,8,0,-8
658,1,0,21,0,-21
659,0,0,40,0,-40
660,0,0,0,0,0
661,1,0,29,0,-29
662,1,1,132,1316,1184
663,0,0,16,0,-16
664,0,0,28,0,-28
665,0,0,47,0,-47
666,1,0,78,0,-78
667,1,0,90,0,-90
668,1,1,291,1414,1123
669,0,0,73,0,-73
670,0,0,149,0,-149
671,1,0,73,0,-73
672,1,0,47,0,-47
673,0,0,42,0,-42
674,0,0,56,0,-56
675,1,0,44,0,-44
676,1,1,552,1419,867
677,1,0,4,0,-4
678,0,0,46,0,-46
679,1,1,1314,1649,335
680,1,1,82,1229,1147
681,1,0,85,0,-85
682,0,0,17,0,-17
683,1,0,32,0,-32
684,0,0,29,0,-29
685,1,0,69,0,-69
686,0,0,48,0,-48
687,1,0,57,0,-57
688,1,0,116,0,-116
689,1,0,12,0,-12
690,0,0,15,0,-15
691,0,0,43,0,-43
692,0,0,64,0,-64
693,1,1,147,1586,1439
694,1,0,31,0,-31
695,0,0,18,0,-18
696,1,0,17,0,-17
697,0,0,78,0,-78
698,1,1,1103,1398,295
699,1,1,444,1253,809
700,1,0,143,0,-143
701,1,1,100,1663,1563
702,1,1,1087,2582,1495
703,1,0,15,0,-15
704,1,1,216,1499,1283
705,0,0,96,0,-96
706,0,0,18,0,-18
707,1,0,129,0,-129
708,1,0,72,0,-72
709,1,0,18,0,-18
710,1,0,31,0,-31
711,1,1,567,1217,650
712,1,0,6,0,-6
713,0,0,92,0,-92
714,1,1,881,1386,505
715,0,0,49,0,-49
716,1,1,1070,1481,411
717,1,0,102,0,-102
718,1,1,42,1449,1407
719,0,0,97,0,-97
720,0,0,112,0,-112
721,1,1,357,1234,877
722,1,1,90,1606,1516
723,0,0,63,0,-63
724,1,0,44,0,-44
725,1,0,57,0,-57
726,0,0,81,0,-81
727,1,1,634,1445,811
728,1,0,60,0,-60
729,1,1,298,1369,1071
730,0,0,110,0,-110
731,1,0,96,0,-96
732,1,0,58,0,-58
733,0,0,99,0,-99
734,1,1,129,1292,1163
735,0,0,100,0,-100
736,1,0,82,0,-82
737,1,0,35,0,-35
738,0,0,0,0,0
739,1,1,192,1520,1328
740,1,0,108,0,-108
741,1,1,2032,1319,-713
742,1,0,59,0,-59
743,1,0,9,0,-9
744,1,0,9,0,-9
745,1,0,28,0,-28
746,0,0,40,0,-40
747,0,0,238,0,-238
748,0,0,119,0,-119
749,0,0,2,0,-2
750,1,1,1957,1939,-18
751,1,0,98,0,-98
752,0,0,131,0,-131
753,0,0,71,0,-71
754,1,0,7,0,-7
755,0,0,8,0,-8
756,1,1,318,1720,1402
757,1,0,80,0,-80
758,0,0,124,0,-124
759,1,0,50,0,-50
760,0,0,58,0,-58
761,1,0,115,0,-115
762,0,0,42,0,-42
763,1,1,46,1286,1240
764,0,0,42,0,-42
765,1,0,71,0,-71
766,0,0,24,0,-24
767,0,0,0,0,0
768,1,0,112,0,-112
769,0,0,8,0,-8
770,0,0,78,0,-78
771,1,1,366,1654,1288
772,0,0,9,0,-9
773,1,1,662,1378,716
774,1,0,3,0,-3
775,1,1,413,1336,923
776,1,0,177,0,-177
777,1,1,692,1276,584
778,1,1,296,1387,1091
779,1,1,581,1369,788
780,1,0,85,0,-85
781,1,0,13,0,-13
782,1,1,591,1495,904
783,1,0,0,0,0
784,0,0,61,0,-61
785,1,1,165,1346,1181
786,1,1,125,1250,1125
787,1,0,0,0,0
788,0,0,66,0,-66
789,1,1,34,1256,1222
790,0,0,34,0,-34
791,1,1,381,1249,868
792,1,1,2331,1553,-778
793,1,0,24,0,-24
794,1,1,469,2164,1695
795,1,1,629,1297,668
796,0,0,14,0,-14
797,1,0,54,0,-54
798,1,0,0,0,0
799,1,1,482,1213,731
800,1,1,1417,1342,-75
801,0,0,79,0,-79
802,1,1,938,1286,348
803,1,1,583,2169,1586
804,0,0,128,0,-128
805,1,1,663,1250,587
806,1,0,12,0,-12
807,0,0,9,0,-9
808,1,1,189,1686,1497
809,0,0,50,0,-50
810,1,0,36,0,-36
811,1,0,29,0,-29
812,1,1,410,1300,890
813,1,1,601,1865,1264
814,0,0,3,0,-3
815,1,1,457,1500,1043
816,1,0,70,0,-70
817,1,0,62,0,-62
818,0,0,6,0,-6
819,0,0,3,0,-3
820,0,0,216,0,-216
821,1,1,542,2096,1554
822,1,0,232,0,-232
823,1,1,349,1974,1625
824,1,0,76,0,-76
825,0,0,10,0,-10
826,0,0,175,0,-175
827,0,0,90,0,-90
828,1,1,231,1999,1768
829,0,0,54,0,-54
830,0,0,12,0,-12
831,1,1,381,1930,1549
832,1,1,806,1378,572
833,0,0,7,0,-7
834,1,1,1155,2211,1056
835,0,0,1,0,-1
836,0,0,67,0,-67
837,1,0,120,0,-120
838,1,1,183,1849,1666
839,0,0,65,0,-65
840,0,0,2,0,-2
841,0,0,23,0,-23
842,1,0,19,0,-19
843,1,1,423,2950,2527
844,1,0,16,0,-16
845,0,0,60,0,-60
846,0,0,68,0,-68
847,1,0,34,0,-34
848,1,0,151,0,-151
849,0,0,95,0,-95
850,0,0,5,0,-5
851,0,0,22,0,-22
852,0,0,2,0,-2
853,1,0,27,0,-27
854,1,0,84,0,-84
855,1,0,73,0,-73
856,1,1,484,1606,1122
857,0,0,67,0,-67
858,1,0,125,0,-125
859,1,1,501,1766,1265
860,1,1,791,2433,1642
861,0,0,13,0,-13
862,1,1,219,1269,1050
863,0,0,84,0,-84
864,1,0,1,0,-1
865,0,0,15,0,-15
866,0,0,92,0,-92
867,0,0,45,0,-45
868,0,0,17,0,-17
869,1,1,186,1347,1161
870,1,0,55,0,-55
871,1,1,44,1841,1797
872,0,0,70,0,-70
873,0,0,29,0,-29
874,1,1,553,1202,649
875,0,0,91,0,-91
876,1,0,22,0,-22
877,0,0,19,0,-19
878,1,0,67,0,-67
879,1,1,201,1321,1120
880,0,0,4,0,-4
881,1,1,682,1262,580
882,0,0,39,0,-39
883,1,1,132,1217,1085
884,1,0,27,0,-27
885,1,0,31,0,-31
886,1,1,1017,1637,620
887,0,0,3,0,-3
888,1,0,57,0,-57
889,1,0,128,0,-128
890,1,1,106,1369,1263
891,1,0,7,0,-7
892,1,1,347,1294,947
893,1,1,1017,1338,321
894,1,0,0,0,0
895,1,0,16,0,-16
896,0,0,16,0,-16
897,1,1,1755,1272,-483
898,1,0,32,0,-32
899,1,1,1469,1248,-221
900,1,1,136,1490,1354
901,1,0,55,0,-55
902,1,0,55,0,-55
903,0,0,33,0,-33
904,1,1,263,1225,962
905,0,0,78,0,-78
906,0,0,45,0,-45
907,1,1,169,1593,1424
908,0,0,45,0,-45
909,1,0,70,0,-70
910,1,0,49,0,-49
911,0,0,1,0,-1
912,0,0,95,0,-95
913,1,1,421,1489,1068
914,1,1,231,1287,1056
915,1,0,208,0,-208
916,1,0,23,0,-23
917,0,0,44,0,-44
918,1,0,85,0,-85
919,0,0,8,0,-8
920,1,0,75,0,-75
921,1,0,26,0,-26
922,1,0,44,0,-44
923,0,0,73,0,-73
924,1,1,236,2146,1910
925,1,1,1123,1436,313
926,0,0,157,0,-157
927,0,0,104,0,-104
928,1,1,230,1517,1287
929,1,1,646,1284,638
930,0,0,4,0,-4
931,1,1,66,1679,1613
932,0,0,85,0,-85
933,0,0,5,0,-5
934,1,0,85,0,-85
935,0,0,61,0,-61
936,0,0,4,0,-4
937,1,1,122,1461,1339
938,1,1,75,1408,1333
939,0,0,45,0,-45
940,1,1,357,1514,1157
941,0,0,65,0,-65
942,0,0,27,0,-27
943,0,0,28,0,-28
944,1,1,402,1217,815
945,1,1,270,1501,1231
946,0,0,202,0,-202
947,0,0,0,0,0
948,0,0,68,0,-68
949,1,1,1909,1370,-539
950,1,1,157,1725,1568
951,0,0,48,0,-48
952,1,1,392,1913,1521
953,0,0,208,0,-208
954,1,1,417,1442,1025
955,0,0,106,0,-106
956,1,0,88,0,-88
957,0,0,50,0,-50
958,0,0,36,0,-36
959,1,0,136,0,-136
960,1,1,491,1771,1280
961,0,0,64,0,-64
962,0,0,67,0,-67
963,1,1,1995,1204,-791
964,0,0,1,0,-1
965,0,0,71,0,-71
966,1,1,628,1386,758
967,1,1,266,1390,1124
968,0,0,94,0,-94
969,1,1,210,1825,1615
970,1,0,6,0,-6
971,1,1,365,1229,864
972,0,0,39,0,-39
973,0,0,27,0,-27
974,1,0,11,0,-11
975,1,0,127,0,-127
976,1,0,65,0,-65
977,1,0,134,0,-134
978,1,0,226,0,-226
979,0,0,23,0,-23
980,1,0,7,0,-7
981,0,0,21,0,-21
982,1,1,54,1423,1369
983,0,0,35,0,-35
984,1,1,104,1498,1394
985,1,0,82,0,-82
986,1,1,182,1254,1072
987,0,0,52,0,-52
988,0,0,112,0,-112
989,0,0,91,0,-91
990,0,0,7,0,-7
991,1,1,581,1263,682
992,0,0,80,0,-80
993,1,0,15,0,-15
994,1,1,201,1616,1415
995,1,1,732,1809,1077
996,0,0,123,0,-123
997,0,0,23,0,-23
998,1,1,218,1291,1073
999,0,0,0,0,0
1000,0,0,58,0,-58
1001,1,1,644,1394,750
1002,1,1,880,1821,941
1003,1,1,868,1283,415
1004,1,1,106,1461,1355
1005,1,0,35,0,-35
1006,1,0,69,0,-69
1007,1,1,105,1316,1211
1008,1,1,698,1332,634
1009,0,0,1,0,-1
1010,1,0,2,0,-2
1011,0,0,66,0,-66
1012,1,1,273,1242,969
1013,1,1,201,1320,1119
1014,1,1,77,1684,1607
1015,1,0,46,0,-46
1016,0,0,67,0,-67
1017,1,0,19,0,-19
1018,1,1,442,1297,855
1019,1,1,670,2373,1703
1020,1,0,25,0,-25
1021,1,0,119,0,-119
1022,1,1,210,1312,1102
1023,1,1,207,1200,993
1024,0,0,11,0,-11
1025,0,0,6,0,-6
1026,0,0,24,0,-24
1027,1,0,82,0,-82
1028,0,0,12,0,-12
1029,0,0,32,0,-32
1030,1,1,133,1291,1158
1031,1,0,9,0,-9
1032,1,1,1595,1402,-193
1033,0,0,110,0,-110
1034,0,0,8,0,-8
1035,1,1,98,1238,1140
1036,1,1,264,3240,2976
1037,0,0,28,0,-28
1038,0,0,11,0,-11
1039,1,0,22,0,-22
1040,1,1,202,1333,1131
1041,1,0,10,0,-10
1042,0,0,46,0,-46
1043,1,1,259,1387,1128
1044,1,1,963,1259,296
1045,1,0,49,0,-49
1046,1,1,453,1207,754
1047,0,0,63,0,-63
1048,0,0,12,0,-12
1049,1,0,66,0,-66
1050,1,1,1134,1259,125
